record_id,Date,Sales_Rep,Customer,Product,COGS,Sales,Country,State,Product_Rating,Service_Rating,Sales_Rep_Rating,Sales_Rating,Profit,Profit_Rank
S00051,10/16/17,Barbara C,Solar and Wind Inc.,XVI Item,4250.1646,7327.87,United States, Michigan,4.0,4.0,1.0,3.0,3077.7054,Large Profit
S00052,4/1/18,Barbara C,The Economist,QSA Item,6032.3582,6451.72,United States, Minnesota,4.0,1.0,5.0,3.3333333333333335,419.3618000000006,Small Profit
S00053,7/26/17,Barbara C,Amazon.com,HGB Item,3913.9425,5218.59,United States, Illinois,2.0,2.0,3.0,2.3333333333333335,1304.6475,Medium Profit
S00054,6/2/18,Barbara C,Office Depot,HNW Item,4484.9024,5096.48,United States, Indiana,3.0,2.0,2.0,2.3333333333333335,611.5775999999996,Medium Profit
S00055,4/23/19,Barbara C,Peet's Coffee,JXE Item,1673.6358,4523.34,United States, Iowa,1.0,4.0,1.0,2.0,2849.7042,Large Profit
S00056,4/10/19,Barbara C,Yahoo,WLI Item,2373.2788,4091.86,United States, Michigan,3.0,5.0,1.0,3.0,1718.5812,Medium Profit
S00057,5/7/18,Barbara C,Home Depot,NEJ Item,2608.936,2964.7,United States, Minnesota,3.0,3.0,2.0,2.6666666666666665,355.76399999999967,Small Profit
S00058,4/1/18,Barbara C,Amazon.com,SQN Item,1506.989,2739.98,United States, Missouri,2.0,2.0,2.0,2.0,1232.991,Medium Profit
S00059,11/4/17,Barbara C,Whole Foods,ZMB Item,1445.4115,2449.85,United States, Ohio,2.0,1.0,4.0,2.3333333333333335,1004.4385,Medium Profit
S00060,10/15/18,Barbara C,Costco,WIL Item,815.2089,1381.71,United States, Wisconsin,3.0,1.0,5.0,3.0,566.5011000000001,Medium Profit
S00061,3/16/18,Barbara C,Amazon.com,ABM Item,335.06,609.2,United States, Illinois,5.0,5.0,3.0,4.333333333333333,274.14000000000004,Small Profit
S00062,3/21/19,Catherine W,Peet's Coffee,JOG Item,4823.687,8770.34,United States, Indiana,1.0,3.0,5.0,3.0,3946.6530000000002,Large Profit
S00063,9/30/17,Catherine W,Office Depot,KYB Item,3236.7341,8747.93,United States, Iowa,3.0,1.0,1.0,1.6666666666666667,5511.195900000001,Large Profit
S00064,5/16/19,Catherine W,Costco,LGL Item,4533.7575,6045.01,United States, Michigan,5.0,5.0,5.0,5.0,1511.2525000000005,Medium Profit
S00065,4/18/19,Catherine W,Amazon.com,VWP Item,2322.1385,4222.07,United States, Minnesota,5.0,2.0,2.0,3.0,1899.9314999999997,Medium Profit
S00066,4/5/19,Catherine W,Peet's Coffee,FEP Item,1451.0068,3921.64,United States, Illinois,3.0,2.0,2.0,2.3333333333333335,2470.6331999999998,Large Profit
S00067,3/26/19,Catherine W,Yahoo,KMU Item,2675.9325,3567.91,United States, Indiana,3.0,5.0,2.0,3.3333333333333335,891.9775,Medium Profit
S00068,7/27/18,Catherine W,McLendon's Hardware,UTT Item,1468.2327,2488.53,United States, Iowa,5.0,1.0,2.0,2.6666666666666665,1020.2973000000002,Medium Profit
S00069,10/28/18,Catherine W,Google,FRX Item,2044.34945,2186.47,United States, Michigan,2.0,3.0,5.0,3.3333333333333335,142.12054999999987,Small Profit
S00070,1/24/18,Catherine W,Costco,AZL Item,114.0255,253.39,United States, Minnesota,2.0,2.0,2.0,2.0,139.3645,Small Profit
S00071,6/17/17,Cherry M,ExcelIsVeryFun.com,MWN Item,6305.0008,9272.06,United States, Missouri,5.0,4.0,5.0,4.666666666666667,2967.0591999999997,Large Profit
S00072,2/11/18,Cherry M,ExcelIsVeryFun.com,VMC Item,4673.3074,7920.86,United States, Ohio,2.0,5.0,4.0,3.6666666666666665,3247.5526,Large Profit
S00073,1/7/18,Cherry M,Costco,MUQ Item,2486.4555,6720.15,United States, Wisconsin,5.0,1.0,2.0,2.6666666666666665,4233.6945,Large Profit
S00074,12/29/18,Cherry M,Home Depot,IND Item,2673.2412,6216.84,United States, Illinois,3.0,4.0,5.0,4.0,3543.5988,Large Profit
S00075,12/4/18,Cherry M,Home Depot,RTF Item,2741.013,5017.27820236261,United States, Indiana,1.0,5.0,1.0,2.3333333333333335,2276.2652023626097,Large Profit
S00076,11/29/17,Cherry M,Yahoo,XAQ Item,2669.4,5932.0,United States, Iowa,3.0,2.0,3.0,2.6666666666666665,3262.6,Large Profit
S00077,12/14/17,Cherry M,Nature Company,PZB Item,2046.6315,4548.07,United States, Michigan,4.0,2.0,2.0,2.6666666666666665,2501.4384999999997,Large Profit
S00078,9/12/17,Cherry M,Nature Company,VRD Item,3673.2696,4174.17,United States, Minnesota,1.0,3.0,5.0,3.0,500.9004,Medium Profit
S00079,3/28/19,Cherry M,Peet's Coffee,NOC Item,1539.5333,3580.31,United States, Illinois,5.0,3.0,2.0,3.3333333333333335,2040.7767,Large Profit
S00080,2/19/19,Cherry M,Office Depot,HUJ Item,949.518,2110.04,United States, Indiana,4.0,5.0,1.0,3.3333333333333335,1160.522,Medium Profit
S00081,4/21/18,Cherry M,Nature Company,CSJ Item,731.8193,1977.89,United States, Iowa,5.0,1.0,2.0,2.6666666666666665,1246.0707000000002,Medium Profit
S00082,11/22/18,Cherry M,Office Depot,JKP Item,1014.3214,1748.83,United States, Michigan,2.0,3.0,1.0,2.0,734.5085999999999,Medium Profit
S00083,6/24/18,Cherry M,The Economist,NXJ Item,555.7387,941.93,United States, Minnesota,1.0,1.0,2.0,1.3333333333333333,386.19129999999996,Small Profit
S00084,10/3/18,Dan,McLendon's Hardware,EVO Item,9189.7784,9828.64,United States, Missouri,5.0,2.0,1.0,2.6666666666666665,638.8616000000002,Medium Profit
S00085,6/3/18,Dan,ExcelIsVeryFun.com,DWQ Item,4050.4581,5017.27820236261,United States, Ohio,5.0,4.0,5.0,4.666666666666667,966.8201023626098,Medium Profit
S00086,12/18/18,Dan,Office Depot,GCU Item,4920.1226,8482.97,United States, Wisconsin,5.0,4.0,3.0,4.0,3562.8473999999997,Large Profit
S00087,2/6/19,Dan,McLendon's Hardware,DLN Item,7334.85995,7844.77,United States, Illinois,4.0,3.0,2.0,3.0,509.9100500000004,Medium Profit
S00088,9/30/17,Dan,Office Depot,ZYT Item,6348.089,6789.4,United States, Indiana,4.0,4.0,4.0,4.0,441.3109999999997,Small Profit
S00089,8/30/17,Dan,Peet's Coffee,JYF Item,3931.9824,6779.28,United States, Iowa,3.0,5.0,4.0,4.0,2847.2976,Large Profit
S00090,7/17/18,Dan,Office Depot,IDZ Item,5375.1456,6108.12,United States, Michigan,1.0,3.0,1.0,1.6666666666666667,732.9744000000001,Medium Profit
S00091,12/9/17,Dan,Google,SZW Item,2607.7049,6064.43,United States, Minnesota,5.0,5.0,4.0,4.666666666666667,3456.7251,Large Profit
S00092,3/4/18,Dan,ExcelIsVeryFun.com,YAK Item,5245.7053,5610.38,United States, Illinois,3.0,1.0,2.0,2.0,364.6747000000005,Small Profit
S00093,11/16/18,Dan,Google,EKY Item,5142.92075,5500.45,United States, Indiana,3.0,1.0,3.0,2.3333333333333335,357.5292499999996,Small Profit
S00094,6/10/19,Dan,Home Depot,OSX Item,2336.3964,5433.48,United States, Iowa,4.0,5.0,3.0,4.0,3097.0835999999995,Large Profit
S00095,2/17/18,Dan,Peet's Coffee,AOB Item,3002.0096,4414.72,United States, Michigan,2.0,5.0,5.0,4.0,1412.7104000000004,Medium Profit
S00096,1/8/19,Dan,McLendon's Hardware,PQV Item,1201.9446,2795.22,United States, Minnesota,4.0,2.0,1.0,2.3333333333333335,1593.2753999999998,Medium Profit
S00097,7/1/18,Dana L,Yahoo,STL Item,7429.1272,8442.19,United States, Missouri,1.0,1.0,2.0,1.3333333333333333,1013.0628000000006,Medium Profit
S00098,11/5/18,Dana L,Google,FTH Item,7261.4696,8251.67,United States, Ohio,1.0,3.0,2.0,2.0,990.2003999999997,Medium Profit
S00099,12/22/18,Dana L,McLendon's Hardware,TGY Item,4847.263,8215.7,United States, Wisconsin,1.0,4.0,1.0,2.0,3368.437000000001,Large Profit
S00100,8/8/17,Dana L,Costco,SPK Item,7632.0684,8162.64,United States, Illinois,4.0,4.0,3.0,3.6666666666666665,530.5716000000002,Medium Profit
S00101,9/22/18,Dana L,Solar and Wind Inc.,GWW Item,7160.4984,8136.93,United States, Indiana,3.0,3.0,2.0,2.6666666666666665,976.4315999999999,Medium Profit
S00102,3/1/19,Dana L,Whole Foods,STR Item,4421.1945,7493.55,United States, Iowa,4.0,3.0,2.0,3.0,3072.3555000000006,Large Profit
S00103,3/27/19,Dana L,McLendon's Hardware,DPY Item,5943.5552,6754.04,United States, Michigan,2.0,3.0,4.0,3.0,810.4848000000002,Medium Profit
S00104,4/13/19,Dana L,Office Depot,JXI Item,5416.98795,5793.57,United States, Minnesota,3.0,2.0,5.0,3.3333333333333335,376.58205,Small Profit
S00105,1/12/18,Dana L,Yahoo,AMO Item,2118.4757,5725.61,United States, Illinois,5.0,3.0,3.0,3.6666666666666665,3607.1342999999997,Large Profit
S00106,3/23/19,Dana L,Whole Foods,MCN Item,3132.0575,5694.65,United States, Indiana,4.0,4.0,2.0,3.3333333333333335,2562.5924999999997,Large Profit
